SUBDIVISION,YEAR,Parameter,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
COASTAL KARNATAKA,1991,Actual,0.1,0,0.3,47.7,95.9,939.9,1501.7,896.5,79.5,111.8,45.6,0.7,3719.7,0.1,143.9,3417.5,158.1
COASTAL KARNATAKA,1991,Percentage departure,-94.3,-100,-95.6,60.5,-22.5,11.5,33,26.8,-73.1,-39.2,-27.8,-94.4,9.5,-96.6,-9.8,14.9,-39.1
COASTAL KARNATAKA,1991,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,1992,Actual,0,0,0,17.2,77,873.2,1087.5,1097.5,354.3,133.6,241.8,0,3882.2,0,94.2,3412.6,375.4
COASTAL KARNATAKA,1992,Percentage departure,-100,-100,-100,-42.1,-37.8,3.6,-3.7,55.2,19.9,-27.4,283.1,-100,14.3,-100,-41,14.7,44.6
COASTAL KARNATAKA,1992,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,1993,Actual,0,0.1,6.7,21.7,68.3,591.2,1397.3,742,214.3,347.4,40.8,51.5,3481.3,0.1,96.7,2944.8,439.8
COASTAL KARNATAKA,1993,Percentage departure,-100,-95.6,10.5,-27,-44.8,-29.8,23.8,4.9,-27.5,88.9,-35.4,310.4,2.5,-98.3,-39.4,-1,69.4
COASTAL KARNATAKA,1993,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,1994,Actual,3.5,0,6.3,72.9,44.1,1221.1,1748.2,907,268.1,336,28.6,0.5,4636.3,3.5,123.2,4144.4,365.2
COASTAL KARNATAKA,1994,Percentage departure,80.6,-100,4.3,145,-64.4,44.9,54.9,28.2,-9.3,82.7,-54.7,-95.6,36.5,9.5,-22.8,39.3,40.7
COASTAL KARNATAKA,1994,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,1995,Actual,3.7,0,0.7,21.1,137.8,535.8,1375.7,685.1,348.5,192,57.4,0,3357.8,3.7,159.6,2945,249.5
COASTAL KARNATAKA,1995,Percentage departure,90.1,-100,-87.6,-29.1,11.3,-36.4,21.9,-3.1,17.9,4.4,-9,-100,-1.1,15.3,0.1,-1,-3.9
COASTAL KARNATAKA,1995,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,1996,Actual,0.3,0,0.4,20.3,26.2,787,1122.6,617.9,289.3,259.5,27.5,37.8,3188.9,0.3,46.9,2816.8,324.9
COASTAL KARNATAKA,1996,Percentage departure,-84,-98.5,-93,-31.7,-78.8,-6.6,-0.5,-12.6,-2.1,41.1,-56.4,201,-6.1,-89.7,-70.6,-5.3,25.1
COASTAL KARNATAKA,1996,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,1997,Actual,0.7,0,14.9,21.5,23.1,818.6,1494.1,1146,117.1,148.5,109.8,59.2,3953.6,0.7,59.5,3575.8,317.5
COASTAL KARNATAKA,1997,Percentage departure,-62.6,-100,147.3,-27.6,-81.4,-2.8,32.4,62,-60.4,-19.2,73.9,371.4,16.4,-77.3,-62.7,20.2,22.3
COASTAL KARNATAKA,1997,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,1998,Actual,0,0,1.4,6.6,72,966.4,1092,633.9,572.8,271,80.6,11.3,3707.9,0,80,3265.1,362.9
COASTAL KARNATAKA,1998,Percentage departure,-100,-100,-77.6,-77.7,-41.8,14.7,-3.3,-10.4,93.8,47.3,27.6,-9.7,9.2,-100,-49.9,9.8,39.8
COASTAL KARNATAKA,1998,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,1999,Actual,0,0.4,0.4,7.1,335.5,854.1,1525.9,518.4,186.5,338.2,12.8,0.5,3779.9,0.4,343,3084.9,351.5
COASTAL KARNATAKA,1999,Percentage departure,-100,-65.3,-93,-76.2,171.1,1.4,35.2,-26.7,-36.9,83.9,-79.7,-96.4,11.3,-86.3,115,3.7,35.4
COASTAL KARNATAKA,1999,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2000,Actual,14.9,0.5,0.9,25.8,216.4,966.8,915.6,741.7,279.2,174.7,12.5,2.4,3351.3,15.5,243,2903.3,189.6
COASTAL KARNATAKA,2000,Percentage departure,672.4,-58.7,-85.9,-13.2,74.8,14.7,-18.9,4.9,-5.5,-5,-80.2,-81.2,-1.3,384.5,52.3,-2.4,-27
COASTAL KARNATAKA,2000,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2001,Actual,0.6,0.4,0.4,71.4,156.9,930,926.9,654.4,151.8,169.7,48.6,0.6,3111.6,1,228.7,2663.1,218.9
COASTAL KARNATAKA,2001,Percentage departure,-70.6,-69.1,-94.2,140.1,26.7,10.4,-17.9,-7.5,-48.7,-7.7,-23.1,-94.9,-8.4,-70,43.3,-10.5,-15.7
COASTAL KARNATAKA,2001,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2002,Actual,0.6,11.2,0.5,30.9,164,764.5,545.7,731.3,163.5,360,20.7,0.3,2793.1,11.8,195.3,2205,381
COASTAL KARNATAKA,2002,Percentage departure,-70.4,790.8,-92,3.8,32.5,-9.3,-51.7,3.4,-44.7,95.7,-67.2,-97.2,-17.8,268.8,22.4,-25.9,46.8
COASTAL KARNATAKA,2002,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2003,Actual,0.1,3.6,8.4,37.3,10.2,973.8,970.6,637.5,236,183.7,10.7,0,3071.9,3.8,55.9,2817.9,194.4
COASTAL KARNATAKA,2003,Percentage departure,-93.2,188.9,39.1,25.3,-91.7,15.6,-14,-9.9,-20.2,-0.1,-83.1,-100,-9.6,17.9,-65,-5.3,-25.1
COASTAL KARNATAKA,2003,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2004,Actual,0,0,6.3,24.7,329.2,805.8,718.1,874.5,154.4,104.7,52.1,0,3070,0.1,360.3,2552.8,156.8
COASTAL KARNATAKA,2004,Percentage departure,-98.7,-97.9,5.1,-17,166,-4.4,-36.4,23.6,-47.8,-43.1,-17.4,-100,-9.6,-98.4,125.8,-14.2,-39.6
COASTAL KARNATAKA,2004,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2005,Actual,0.5,0.2,0,72.5,45,821.6,1177.3,692,456.2,178.7,24.6,2.3,3470.9,0.6,117.5,3147.2,205.6
COASTAL KARNATAKA,2005,Percentage departure,-75.9,-88,-100,143.7,-63.6,-2.5,4.3,-2.2,54.4,-2.8,-61.1,-81.4,2.2,-80.6,-26.4,5.8,-20.8
COASTAL KARNATAKA,2005,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2006,Actual,1,0,4.7,5.9,355.7,800.1,1100.8,855.6,404.1,212,97.4,0,3837.3,1,366.3,3160.6,309.4
COASTAL KARNATAKA,2006,Percentage departure,-49.3,-100,-21.8,-80.2,187.4,-5,-2.5,21,36.7,15.3,54.2,-99.8,13,-69.3,129.6,6.3,19.2
COASTAL KARNATAKA,2006,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2007,Actual,0,0,0.6,40.2,61.1,952,1004.4,980.4,630.5,152.8,37.5,0.8,3860.2,0,101.9,3567.2,191.1
COASTAL KARNATAKA,2007,Percentage departure,-100,-100,-90,35.3,-50.7,13,-11,38.6,113.3,-16.9,-40.6,-93.6,13.6,-100,-36.1,19.9,-26.4
COASTAL KARNATAKA,2007,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2008,Actual,0,14.8,161.4,33.4,64.3,850.7,687.8,886.3,383.3,91.6,19.3,13.5,3206.4,14.8,259,2808.1,124.4
COASTAL KARNATAKA,2008,Percentage departure,-100,1081.8,2574,12.3,-48.1,1,-39.1,25.3,29.7,-50.2,-69.4,7.9,-5.6,365.4,62.4,-5.6,-52.1
COASTAL KARNATAKA,2008,No. of districts,1,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2009,Actual,0.4,0,35.2,24.5,100.7,450.3,1778.9,486.1,530.7,287.4,132.4,35.4,3862,0.4,160.4,3246,455.2
COASTAL KARNATAKA,2009,Percentage departure,-78.1,-100,484,-17.6,-18.6,-46.6,57.6,-31.3,79.5,56.3,109.7,181.6,13.7,-86.7,0.6,9.1,75.3
COASTAL KARNATAKA,2009,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2010,Actual,14.4,0.4,3.5,62.2,80.2,682.7,1200.2,637.5,468.4,294.7,231.5,11,3686.8,14.8,145.9,2988.9,537.2
COASTAL KARNATAKA,2010,Percentage departure,647.3,-68.6,-42.1,109.2,-35.2,-19,6.3,-9.9,58.5,60.3,266.7,-12.7,8.5,365.3,-8.6,0.5,106.9
COASTAL KARNATAKA,2010,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2011,Actual,4.8,3.8,8.7,66.1,49.3,1018.4,1080.5,861.3,545.2,178.8,81.5,10.2,3908.6,8.6,124.1,3505.4,270.5
COASTAL KARNATAKA,2011,Percentage departure,147,205.1,44.2,122.1,-60.1,20.9,-4.3,21.8,84.5,-2.8,29.1,-18.9,15.1,169.9,-22.2,17.9,4.2
COASTAL KARNATAKA,2011,No. of districts,2,2,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2012,Actual,NA,11.4,5.1,77,22.9,650.9,754.6,1027.6,382,115.1,68,3.6,NA,NA,104.9,2815.1,186.7
COASTAL KARNATAKA,2012,Percentage departure,NA,807.5,-16.2,158.8,-81.5,-22.7,-33.2,45.3,29.2,-37.4,7.7,-71.1,NA,NA,-34.3,-5.4,-28.1
COASTAL KARNATAKA,2012,No. of districts,0,1,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2013,Actual,2.4,19.6,19,28.5,100.4,1153,1515.3,680.2,379.1,265.1,56.9,10,4229.4,21.9,147.9,3727.6,332
COASTAL KARNATAKA,2013,Percentage departure,22.8,1457.4,215.5,-4.3,-18.9,36.8,34.2,-3.8,28.3,44.1,-9.8,-20.5,24.5,587.8,-7.3,25.3,27.9
COASTAL KARNATAKA,2013,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2014,Actual,0,0.3,1.9,40.5,181.9,507,1155.4,1121,379.3,226.4,40,30.8,3684.4,0.3,224.3,3162.6,297.2
COASTAL KARNATAKA,2014,Percentage departure,-100,-78.1,-68.7,36.2,47,-39.8,2.4,58.5,28.3,23.1,-36.6,145.1,8.5,-91.4,40.6,6.3,14.5
COASTAL KARNATAKA,2014,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
COASTAL KARNATAKA,2015,Actual,1.4,1,32.3,72.2,150.3,735.3,930.9,575.2,260.3,208.5,124.2,14.3,3106,2.4,254.8,2501.8,347.1
COASTAL KARNATAKA,2015,Percentage departure,-25.8,-21.3,435.1,142.7,21.4,-12.7,-17.5,-18.7,-11.9,13.4,96.8,13.8,-8.6,-24,59.7,-15.9,33.7
COASTAL KARNATAKA,2015,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1901-2015,Mean,19.3,18.6,13.3,7.1,9.6,138.9,372.6,371,196.4,39.4,13.2,8.6,1207.8,37.8,29.9,1078.8,61.2
EAST MADHYA PRADESH,1901-2015,Standard deviation,22.5,20.8,16.7,10.5,12.3,76.9,110.5,107.9,100.6,41.5,23.8,16.6,218.7,30.8,25.6,192.5,49.8
EAST MADHYA PRADESH,1901-2015,Coefficient of variation,116.6,111.7,125.5,148.5,128.5,55.3,29.7,29.1,51.2,105.4,180.0,193.0,18.1,81.6,85.7,17.8,81.4
EAST MADHYA PRADESH,1901,Actual,48.5,38.1,15.7,10.7,6.2,61,367.5,589.2,189.9,5.9,0,0,1332.7,86.5,32.7,1207.7,5.9
EAST MADHYA PRADESH,1901,Percentage departure,151.5,105.1,18.3,51.5,-34.8,-56.1,-1.4,58.8,-3.3,-85.1,-100,-100,10.3,128.7,9.2,11.9,-90.4
EAST MADHYA PRADESH,1901,No. of districts,16,17,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1902,Actual,14.9,8.9,0,3.6,2.7,28,411.9,227,236.6,17,27.6,6.1,984.2,23.8,6.2,903.5,50.7
EAST MADHYA PRADESH,1902,Percentage departure,-22.7,-52.2,NA,-49.6,-72.2,-79.9,10.6,-38.8,20.5,-56.8,109.2,-29.7,-18.5,-37.2,-79.2,-16.3,-17.1
EAST MADHYA PRADESH,1902,No. of districts,17,17,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1903,Actual,5.6,2.9,0.3,0.9,37.5,67.5,261.4,366.7,257.4,177.9,0,0,1178.1,8.5,38.7,953,177.9
EAST MADHYA PRADESH,1903,Percentage departure,-70.8,-84.7,-97.5,-87.5,292.2,-51.4,-29.8,-1.2,31.1,351.8,-100,-100,-2.5,-77.6,29.4,-11.7,190.5
EAST MADHYA PRADESH,1903,No. of districts,17,17,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1904,Actual,2,15.3,48.2,0,8.6,109.9,443.2,316.6,135.6,44.8,3.2,16.9,1144.2,17.3,56.7,1005.2,65
EAST MADHYA PRADESH,1904,Percentage departure,-89.7,-17.8,262.4,-100,-10.3,-20.9,18.9,-14.7,-31,13.8,-75.6,96.4,-5.3,-54.4,89.6,-6.8,6.1
EAST MADHYA PRADESH,1904,No. of districts,17,17,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1905,Actual,15.9,8,14.3,12.3,10.2,34.4,292.4,243.3,250.9,2.9,0,1.6,886,23.9,36.7,821,4.4
EAST MADHYA PRADESH,1905,Percentage departure,-17.7,-56.9,7.3,73.2,6.7,-75.2,-21.5,-34.4,27.8,-92.7,-100,-81.8,-26.6,-37,22.7,-23.9,-92.7
EAST MADHYA PRADESH,1905,No. of districts,17,17,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1906,Actual,12.1,28.3,30.8,0,3.5,226.1,444.2,190.1,417,7.1,1.7,8.8,1369.7,40.4,34.4,1277.3,17.6
EAST MADHYA PRADESH,1906,Percentage departure,-37.1,52.2,132.1,-100,-63,62.8,19.2,-48.8,112.4,-82,-87.2,2.5,13.4,6.8,14.9,18.4,-71.2
EAST MADHYA PRADESH,1906,No. of districts,17,17,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1907,Actual,7,103.1,4.5,30.5,5.1,90.9,221.9,512.3,20.1,0,13,1.2,1009.6,110.1,40.1,845.2,14.2
EAST MADHYA PRADESH,1907,Percentage departure,-63.8,455.1,-66.3,331.7,-46.8,-34.6,-40.4,38.1,-89.8,-100,-1.8,-85.7,-16.4,190.9,34,-21.7,-76.8
EAST MADHYA PRADESH,1907,No. of districts,17,17,17,17,17,17,17,16,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1908,Actual,18.2,17,9.4,1.4,3.4,117.7,528.9,588.6,127.5,13,0.4,5,1430.6,35.2,14.1,1362.8,18.4
EAST MADHYA PRADESH,1908,Percentage departure,-5.6,-8.4,-29.5,-80.4,-64.8,-15.2,42,58.6,-35.1,-66.9,-97.1,-42,18.4,-7,-52.8,26.3,-69.9
EAST MADHYA PRADESH,1908,No. of districts,17,17,17,17,17,16,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1909,Actual,19.8,16.3,5.3,72.4,6.2,208.5,387,240.5,123.6,0.2,0,42.2,1122,36.1,83.9,959.6,42.4
EAST MADHYA PRADESH,1909,Percentage departure,2.9,-12.1,-60.3,923.5,-34.8,50.1,3.9,-35.2,-37.1,-99.5,-100,389.2,-7.1,-4.5,180.4,-11.1,-30.7
EAST MADHYA PRADESH,1909,No. of districts,17,17,17,17,16,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1910,Actual,10,0.1,0.2,2.6,9.6,221.3,225.6,377.5,258,49,68.3,0,1222.2,10.1,12.4,1082.4,117.3
EAST MADHYA PRADESH,1910,Percentage departure,-48,-99.4,-98.7,-62.7,-0.1,59.3,-39.5,1.8,31.4,24.4,416.7,-100,1.2,-73.3,-58.7,0.3,91.6
EAST MADHYA PRADESH,1910,No. of districts,17,17,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1911,Actual,22.7,0.8,15.9,0.8,3.9,204.7,175.9,362.6,296.4,62.9,50.5,0,1197.1,23.5,20.6,1039.6,113.3
EAST MADHYA PRADESH,1911,Percentage departure,17.7,-95.6,19.5,-88.7,-58.9,47.4,-52.8,-2.3,51,59.7,281.9,-100,-0.9,-37.9,-31.1,-3.6,85.1
EAST MADHYA PRADESH,1911,No. of districts,17,17,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1912,Actual,8.4,46,0.2,4.8,3.1,35.6,460.4,373.5,165.8,1,49.2,2.5,1150.6,54.3,8.1,1035.4,52.7
EAST MADHYA PRADESH,1912,Percentage departure,-56.6,147.6,-98.6,-31.5,-67.6,-74.4,23.6,0.7,-15.5,-97.5,272.4,-70.9,-4.7,43.6,-72.8,-4,-13.9
EAST MADHYA PRADESH,1912,No. of districts,17,17,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1913,Actual,1.3,58.4,22.7,0,24.2,201.6,262.5,281.3,63.1,2.7,0.7,17.7,936.4,59.8,46.9,808.5,21.2
EAST MADHYA PRADESH,1913,Percentage departure,-93.2,214.6,70.6,NA,153.4,45.2,-29.5,-24.2,-67.9,-93,-94.7,105.5,-22.5,57.9,56.7,-25.1,-65.4
EAST MADHYA PRADESH,1913,No. of districts,17,17,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1914,Actual,0.1,9.3,56.1,19.8,21.3,107.6,544.5,339.8,138.4,8.4,1.9,2.8,1250.1,9.4,97.2,1130.4,13.1
EAST MADHYA PRADESH,1914,Percentage departure,-99.3,-50.1,322.1,180.2,122.6,-22.5,46.1,-8.4,-29.5,-78.6,-85.8,-68,3.5,-75.1,224.8,4.8,-78.6
EAST MADHYA PRADESH,1914,No. of districts,17,17,17,17,16,17,17,16,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1915,Actual,16.2,36.7,52.6,8.3,10.4,178.2,378.4,416.2,159.7,116.2,6.7,2.8,1382.3,52.9,71.3,1132.6,125.6
EAST MADHYA PRADESH,1915,Percentage departure,-16,97.4,295.7,16.8,9.1,28.3,1.6,12.2,-18.6,195,-49.2,-68.1,14.4,39.7,138.2,5,105.2
EAST MADHYA PRADESH,1915,No. of districts,16,17,17,17,17,17,16,16,16,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1916,Actual,0,26.6,0.1,2.2,6.3,286,250.5,452.7,253.2,177.4,25.2,0,1480.2,26.6,8.5,1242.4,202.6
EAST MADHYA PRADESH,1916,Percentage departure,-100,43.3,-99.5,-69.4,-34.2,105.9,-32.8,22,29,350.6,90.8,-100,22.5,-29.7,-71.5,15.2,231
EAST MADHYA PRADESH,1916,No. of districts,14,14,14,14,14,14,16,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1917,Actual,5.8,39.3,25.4,6.4,63.2,223.8,396.4,466.3,345.9,63,0,3.8,1639.3,45,95,1432.4,66.8
EAST MADHYA PRADESH,1917,Percentage departure,-70,111.4,91.5,-9.9,561,61.2,6.4,25.7,76.2,60.1,-100,-56.1,35.7,19,217.5,32.8,9.2
EAST MADHYA PRADESH,1917,No. of districts,17,17,17,17,17,17,17,16,16,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1918,Actual,1.2,6.5,2.3,1.2,29.1,233.1,191.9,331.9,102.9,0.2,18.7,11.5,930.5,7.7,32.6,859.8,30.4
EAST MADHYA PRADESH,1918,Percentage departure,-93.8,-64.8,-82.6,-83.3,204.8,67.8,-48.5,-10.5,-47.6,-99.5,41.6,33.2,-23,-79.6,9.1,-20.3,-50.3
EAST MADHYA PRADESH,1918,No. of districts,17,16,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1919,Actual,120.7,29.7,10.8,9.2,23.2,158.9,479.8,713,105.6,82.3,10.8,3.3,1747.1,150.3,43.1,1457.3,96.4
EAST MADHYA PRADESH,1919,Percentage departure,526.2,59.7,-19,29.4,143,14.4,28.8,92.2,-46.2,109,-18.5,-61.8,44.6,297.2,44.2,35.1,57.4
EAST MADHYA PRADESH,1919,No. of districts,17,17,16,16,17,17,17,17,16,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1920,Actual,12.2,1.7,17,6.3,12.7,93.8,426.4,237.8,91.6,0.1,0,0,899.5,13.9,36,849.6,0.1
EAST MADHYA PRADESH,1920,Percentage departure,-36.7,-91,27.6,-10.8,33.1,-32.4,14.5,-35.9,-53.4,-99.8,-100,-100,-25.5,-63.4,20.3,-21.3,NA
EAST MADHYA PRADESH,1920,No. of districts,17,17,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1921,Actual,24.4,3.4,0,0.5,0,216.6,255.1,379.5,251.6,0.9,0,0,1132.1,27.8,0.6,1102.8,0.9
EAST MADHYA PRADESH,1921,Percentage departure,26.6,-81.6,-99.7,-92.6,-99.7,56,-31.5,2.3,28.1,-97.7,-100,-99.8,-6.3,-26.5,-98,2.2,-98.5
EAST MADHYA PRADESH,1921,No. of districts,17,17,17,17,17,16,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1922,Actual,39.1,6.1,0.5,2.5,0.9,132.7,459.2,321,231.1,6.6,35,3.2,1238,45.2,4,1144.1,44.8
EAST MADHYA PRADESH,1922,Percentage departure,103,-67.4,-96.2,-64.1,-90.2,-4.5,23.2,-13.5,17.7,-83.3,165.1,-63.1,2.5,19.4,-86.7,6,-26.8
EAST MADHYA PRADESH,1922,No. of districts,14,14,16,15,16,14,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1923,Actual,5.1,9.8,20,2.1,2.3,27.2,466.7,676.3,193.4,31.5,0.2,9.2,1443.9,14.9,24.5,1363.6,40.9
EAST MADHYA PRADESH,1923,Percentage departure,-73.6,-47.1,50.7,-69.7,-75.7,-80.4,25.3,82.3,-1.5,-20.1,-98.2,6.8,19.5,-60.6,-18.2,26.4,-33.2
EAST MADHYA PRADESH,1923,No. of districts,17,17,17,17,17,17,16,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1924,Actual,29.4,9,7.2,1.1,1.4,43.5,547.3,377.7,244.6,29.9,13.8,10.5,1315.3,38.4,9.7,1213.2,54.1
EAST MADHYA PRADESH,1924,Percentage departure,52.5,-51.7,-45.9,-84.3,-85.7,-68.7,46.9,1.8,24.6,-24.1,4.2,21.1,8.9,1.4,-67.7,12.5,-11.6
EAST MADHYA PRADESH,1924,No. of districts,17,17,17,17,17,16,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1925,Actual,0.1,0,0,0.2,29.8,191.9,575,287.6,204,11.7,53.8,0.3,1354.5,0.1,30.1,1258.6,65.8
EAST MADHYA PRADESH,1925,Percentage departure,-99.5,-100,-99.7,-97.4,212.2,38.2,54.3,-22.5,3.9,-70.3,307.2,-97,12.1,-99.8,0.5,16.7,7.4
EAST MADHYA PRADESH,1925,No. of districts,17,17,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1926,Actual,21.1,3.1,49.2,41,31,26.3,327.2,551.4,538.7,135.9,1.2,0.9,1726.8,24.2,121.2,1443.6,138
EAST MADHYA PRADESH,1926,Percentage departure,9.5,-83.4,269.9,479,224.6,-81,-12.2,48.6,174.3,245,-91.1,-89.3,43,-36.1,304.9,33.8,125.3
EAST MADHYA PRADESH,1926,No. of districts,17,17,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1927,Actual,8.4,18.7,44.4,1.8,2.5,100.1,430.4,382.8,93.6,67.1,77.7,8.4,1235.9,27.1,48.8,1006.9,153.2
EAST MADHYA PRADESH,1927,Percentage departure,-56.5,0.8,233.8,-73.9,-73.4,-27.9,15.5,3.2,-52.3,70.4,487.6,-2.6,2.3,-28.4,62.9,-6.7,150.2
EAST MADHYA PRADESH,1927,No. of districts,16,17,16,17,16,17,16,16,17,16,17,16,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1928,Actual,15.7,52.8,9.1,1,2.5,152.7,475,185,63.1,96.6,0,53.5,1106.9,68.5,12.6,875.7,150.1
EAST MADHYA PRADESH,1928,Percentage departure,-18.5,184.2,-31.5,-85.5,-74.1,10,27.5,-50.1,-67.9,145.2,-99.6,519.5,-8.4,81,-57.9,-18.8,145.1
EAST MADHYA PRADESH,1928,No. of districts,17,17,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1929,Actual,30,17.4,0.2,11.2,1.7,94.3,524.9,399.2,103,17.7,0,47.9,1247.4,47.4,13.1,1121.4,65.6
EAST MADHYA PRADESH,1929,Percentage departure,55.8,-6.4,-98.2,58,-82.5,-32.1,40.9,7.6,-47.6,-55.1,-100,454.9,3.3,25.3,-56.3,3.9,7.1
EAST MADHYA PRADESH,1929,No. of districts,17,17,17,17,17,17,17,17,17,17,17,17,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1930,Actual,2.1,3.5,3,31.3,6.9,134,597.9,268.4,109.2,33.9,5.2,8.5,1203.9,5.5,41.3,1109.5,47.6
EAST MADHYA PRADESH,1930,Percentage departure,-89.2,-81.4,-77.5,343,-27.4,-3.5,60.5,-27.7,-44.4,-13.8,-61,-1.7,-0.3,-85.4,37.9,2.8,-22.3
EAST MADHYA PRADESH,1930,No. of districts,16,16,16,16,16,16,16,16,16,16,16,16,NA,NA,NA,NA,NA
EAST MADHYA PRADESH,1931,Actual,13.7,29.5,9,3.3,3.2,69.6,294.5,458.1,290.9,151.6,16.2,2.6,1342.2,43.2,15.4,1113.1,170.5
EAST MADHYA PRADESH,1931,Percentage departure,-28.9,58.8,-32.6,-53.9,-66.2,-49.9,-21,23.5,48.2,285.1,22.6,-69.8,11.1,14.2,-48.4,3.2,178.4
